year,pH
01/01/2011,8.076955006
01/02/2011,8.077238513
01/03/2011,8.078585615
01/04/2011,8.078448099
01/05/2011,8.055120662
01/06/2011,8.020207424
01/07/2011,7.973822326
01/08/2011,7.962515573
01/09/2011,7.987971779
01/10/2011,8.034042953
01/11/2011,8.080058175
01/12/2011,8.103079131
01/01/2012,8.076404892
01/02/2012,8.076946189
01/03/2012,8.077845236
01/04/2012,8.07805091
01/05/2012,8.052105484
01/06/2012,8.014185886
01/07/2012,7.956278555
01/08/2012,7.943148631
01/09/2012,7.986748727
01/10/2012,8.020762183
01/11/2012,8.066983183
01/12/2012,8.099216681
01/01/2013,8.073323545
01/02/2013,8.07411378
01/03/2013,8.075005764
01/04/2013,8.074694987
01/05/2013,8.048109381
01/06/2013,8.021286417
01/07/2013,7.971269626
01/08/2013,7.947742791
01/09/2013,7.983589762
01/10/2013,8.026064553
01/11/2013,8.068975066
01/12/2013,8.098980601
01/01/2014,8.069724934
01/02/2014,8.070350601
01/03/2014,8.070978219
01/04/2014,8.069220619
01/05/2014,8.045394691
01/06/2014,8.012973041
01/07/2014,7.963223192
01/08/2014,7.943814182
01/09/2014,7.97150518
01/10/2014,8.017884049
01/11/2014,8.065829366
01/12/2014,8.09368177
01/01/2015,8.067114185
01/02/2015,8.068394637
01/03/2015,8.06947671
01/04/2015,8.069608731
01/05/2015,8.041694464
01/06/2015,8.006810433
01/07/2015,7.944305642
01/08/2015,7.922795257
01/09/2015,7.960702166
01/10/2015,8.012127039
01/11/2015,8.061108137
01/12/2015,8.09165532
01/01/2016,8.063166944
01/02/2016,8.064488399
01/03/2016,8.064737535
01/04/2016,8.061356612
01/05/2016,8.038606139
01/06/2016,8.000912767
01/07/2016,7.943505061
01/08/2016,7.934062012
01/09/2016,7.964722843
01/10/2016,8.010564216
01/11/2016,8.05832092
01/12/2016,8.090024527
01/01/2017,8.062048144
01/02/2017,8.062644469
01/03/2017,8.062719106
01/04/2017,8.060937982
01/05/2017,8.033805149
01/06/2017,7.988324382
01/07/2017,7.933657078
01/08/2017,7.924049412
01/09/2017,7.966403176
01/10/2017,8.014603637
01/11/2017,8.060533273
01/12/2017,8.089046173
01/01/2018,8.058293943
01/02/2018,8.058698465
01/03/2018,8.058575338
01/04/2018,8.055433323
01/05/2018,8.022799367
01/06/2018,7.975295634
01/07/2018,7.925195657
01/08/2018,7.912457787
01/09/2018,7.948368991
01/10/2018,8.005043925
01/11/2018,8.050597522
01/12/2018,8.083276584
01/01/2019,8.05582279
01/02/2019,8.056604583
01/03/2019,8.057013879
01/04/2019,8.057177014
01/05/2019,8.037008485
01/06/2019,7.993889416
01/07/2019,7.924400319
01/08/2019,7.915709539
01/09/2019,7.94844279
01/10/2019,7.996373252
01/11/2019,8.043542192
01/12/2019,8.077333286
01/01/2020,8.051886771
01/02/2020,8.052814022
01/03/2020,8.052810942
01/04/2020,8.050594777
01/05/2020,8.02212632
01/06/2020,7.992136195
01/07/2020,7.926443017
01/08/2020,7.913055749
01/09/2020,7.940872537
01/10/2020,7.996780079
01/11/2020,8.041386676
01/12/2020,8.073882049
